,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Brae,GB,60.3964,-1.353,33.8,60,20,11.5,few clouds
129,Banda Aceh,ID,5.5577,95.3222,80.6,74,4,14.63,clear sky
130,Coahuayana,MX,18.7333,-103.6833,75.2,64,40,1.66,scattered clouds
131,Baoro,CF,5.6667,15.9667,70.57,23,0,5.57,clear sky
132,Napasar,IN,27.9667,73.55,60.75,34,87,6.73,overcast clouds
133,Raudeberg,NO,61.9875,5.1352,23.0,68,0,8.05,clear sky
134,Khandyga,RU,62.6667,135.6,-46.91,74,21,1.14,few clouds
135,Kruisfontein,ZA,-34.0033,24.7314,66.99,88,38,5.75,scattered clouds
136,Beloha,MG,-25.1667,45.05,75.25,69,1,8.46,clear sky
137,Alice Springs,AU,-23.7,133.8833,98.6,14,0,16.11,clear sky
138,Tuktoyaktuk,CA,69.4541,-133.0374,-41.8,74,1,6.91,clear sky
139,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,88,90,2.3,overcast clouds
140,Saint George,US,37.1041,-113.5841,55.4,35,1,11.5,clear sky
141,Nanchang,CN,28.6833,115.8833,57.42,70,77,6.89,broken clouds
142,Canico,PT,32.6333,-16.85,57.2,58,40,9.22,scattered clouds
143,Mutoko,ZW,-17.397,32.2268,64.0,100,100,2.71,light rain
144,Bam,IR,29.106,58.357,43.81,52,0,1.39,clear sky
145,Kaitangata,NZ,-46.2817,169.8464,57.0,62,0,11.01,clear sky
146,Arlit,NE,18.7369,7.3853,59.59,32,0,4.16,clear sky
147,Mahon,ES,39.8885,4.2658,51.8,100,75,3.44,fog
148,Morgan City,US,29.6994,-91.2068,48.99,87,1,3.44,clear sky
149,Zaysan,KZ,47.4667,84.8667,17.28,94,100,1.36,overcast clouds
150,Ribeira Grande,PT,38.5167,-28.7,55.2,65,97,29.21,overcast clouds
151,Samarai,PG,-10.6167,150.6667,84.27,71,99,10.85,overcast clouds
152,Chor,PK,25.5167,69.7667,58.73,32,0,8.23,clear sky
153,Parakou,BJ,9.3372,2.6303,73.54,20,14,1.12,few clouds
154,Dire,ML,12.2833,-10.9667,72.57,20,68,1.3,broken clouds
155,Moree,AU,-29.4667,149.85,91.4,25,47,19.57,scattered clouds
156,Hami,CN,42.8,93.45,28.58,80,46,3.85,scattered clouds
157,Bambanglipuro,ID,-7.95,110.2833,83.32,68,100,3.13,overcast clouds
158,Illapel,CL,-31.6308,-71.1653,67.96,55,0,1.21,clear sky
159,Marawi,PH,7.9986,124.2928,82.0,83,2,5.99,clear sky
160,Castro,BR,-24.7911,-50.0119,69.08,90,100,3.13,moderate rain
161,Ust-Uda,RU,54.1742,103.0304,22.91,96,100,10.13,overcast clouds
162,Berbera,SO,10.4396,45.0143,70.9,62,41,5.1,scattered clouds
163,Rincon De La Victoria,ES,36.7172,-4.2758,57.0,87,0,6.91,clear sky
164,Muros,ES,42.7762,-9.0603,53.01,86,1,13.98,clear sky
165,Leningradskiy,RU,69.3833,178.4167,-24.43,86,77,8.05,broken clouds
166,Vardo,NO,70.3705,31.1107,29.37,93,100,21.83,overcast clouds
167,Acapulco,MX,16.8634,-99.8901,80.6,74,20,5.75,few clouds
168,Lufilufi,WS,-13.8745,-171.5986,80.6,94,90,16.11,overcast clouds
169,Pangkalanbuun,ID,-2.6833,111.6167,81.81,75,100,3.78,light rain
170,Magdalena,PH,14.1999,121.429,82.99,65,20,6.91,few clouds
171,Ostrovnoy,RU,68.0531,39.5131,10.72,93,100,12.86,light snow
172,Cidreira,BR,-30.1811,-50.2056,76.17,94,100,8.03,moderate rain
173,Verkhoyansk,RU,67.5447,133.385,-42.65,70,0,2.13,clear sky
174,Plouzane,FR,48.3833,-4.6167,48.2,93,90,10.36,overcast clouds
175,Provideniya,RU,64.3833,-173.3,-7.17,82,69,14.5,broken clouds
176,San Alberto,CO,7.7611,-73.3922,82.33,55,100,2.59,overcast clouds
177,Bilibino,RU,68.0546,166.4372,-6.54,77,94,9.44,overcast clouds
178,Marsa Matruh,EG,31.3525,27.2453,60.8,88,40,11.5,scattered clouds
179,Quatre Cocos,MU,-20.2078,57.7625,77.0,88,40,2.3,light rain
180,Ballina,AU,-28.8667,153.5667,84.2,61,14,11.5,few clouds
181,Vanavara,RU,60.34,102.2797,-13.54,89,100,3.06,overcast clouds
182,Eureka,US,40.8021,-124.1637,48.0,76,98,8.01,overcast clouds
183,Muncar,ID,-8.4333,114.3333,79.21,81,98,0.89,overcast clouds
184,Lagoa Nova,BR,-6.1,-36.4833,68.99,88,95,16.37,overcast clouds
185,Kloulklubed,PW,7.0419,134.2556,86.0,70,75,11.5,broken clouds
186,Lagoa,PT,39.05,-27.9833,54.48,64,99,30.51,overcast clouds
187,Cabo San Lucas,MX,22.8909,-109.9124,69.01,77,20,3.44,few clouds
188,Naze,JP,28.3667,129.4833,64.4,52,40,8.05,scattered clouds
189,Tasiilaq,GL,65.6145,-37.6368,18.72,92,71,10.0,broken clouds
190,Fare,PF,-16.7,-151.0167,75.34,77,100,2.89,light rain
191,Port Macquarie,AU,-31.4333,152.9167,84.99,52,0,1.99,clear sky
192,Montevideo,UY,-34.8335,-56.1674,71.01,88,90,16.11,moderate rain
193,Aksarayskiy,RU,46.7924,48.0119,30.2,93,98,4.47,mist
194,Sechura,PE,-5.5569,-80.8222,74.98,68,28,13.53,scattered clouds
195,La Ronge,CA,55.1001,-105.2842,5.0,78,100,6.91,overcast clouds
196,Tiksi,RU,71.6872,128.8694,-25.67,85,98,2.91,overcast clouds
197,Salym,RU,60.0625,71.4789,3.18,94,100,6.8,overcast clouds
198,Tahe,CN,52.3333,124.7333,-14.06,80,0,4.05,clear sky
199,Pemberton,CA,50.3164,-122.8027,34.0,100,90,2.59,overcast clouds
200,Ungheni,MD,47.2042,27.7958,36.0,100,91,8.05,light rain
201,Muroto,JP,33.2833,134.15,48.2,49,40,4.61,scattered clouds
202,San Quintin,MX,30.4833,-115.95,60.67,78,25,12.3,scattered clouds
203,Fairbanks,US,64.8378,-147.7164,-5.8,77,90,3.44,light snow
204,Boali,CF,4.8005,18.1275,73.4,83,20,1.88,few clouds
205,Kurumkan,RU,54.3,110.3,-6.21,86,100,0.85,light snow
206,Viedma,AR,-40.8135,-62.9967,66.0,77,50,9.93,scattered clouds
207,Srednekolymsk,RU,67.45,153.6833,-17.79,87,32,4.09,scattered clouds
208,Huangpi,CN,30.8845,114.3779,53.6,50,83,8.95,broken clouds
209,Mlyniv,UA,50.509,25.6168,39.0,97,100,5.99,overcast clouds
210,Craig,US,40.5153,-107.5464,28.4,86,90,10.36,light snow
211,Grand Gaube,MU,-20.0064,57.6608,75.99,86,4,3.0,clear sky
212,Port Lincoln,AU,-34.7333,135.8667,61.81,85,100,17.36,moderate rain
213,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,2.3,moderate rain
214,Ugoofaaru,MV,5.6667,73.0,81.27,72,30,11.48,scattered clouds
215,Nurmijarvi,FI,60.4641,24.8073,5.0,85,0,12.66,clear sky
216,Payo,ID,-3.7508,103.6372,76.57,89,97,4.27,overcast clouds
217,Comodoro Rivadavia,AR,-45.8667,-67.5,64.4,63,0,10.36,clear sky
218,Vada,NL,51.97,5.6667,45.0,100,75,10.36,broken clouds
219,Isangel,VU,-19.55,169.2667,83.57,67,90,13.89,overcast clouds
