City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Vardo,NO,29.37,overcast clouds,70.3705,31.1107,Vardø Hotel AS
167,Acapulco,MX,80.6,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
168,Lufilufi,WS,80.6,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
169,Pangkalanbuun,ID,81.81,light rain,-2.6833,111.6167,Grand Kecubung Hotel
170,Magdalena,PH,82.99,few clouds,14.1999,121.429,Samparada & Gestiada Residences
172,Cidreira,BR,76.17,moderate rain,-30.1811,-50.2056,Hotel Castelo
174,Plouzane,FR,48.2,overcast clouds,48.3833,-4.6167,Lymina
176,San Alberto,CO,82.33,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
177,Bilibino,RU,-6.54,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
178,Marsa Matruh,EG,60.8,scattered clouds,31.3525,27.2453,Beau Site
179,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
180,Ballina,AU,84.2,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
182,Eureka,US,48.0,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
183,Muncar,ID,79.21,overcast clouds,-8.4333,114.3333,Zaky Homestay
184,Lagoa Nova,BR,68.99,overcast clouds,-6.1,-36.4833,Pousada Galvão
185,Kloulklubed,PW,86.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
186,Lagoa,PT,54.48,overcast clouds,39.05,-27.9833,Casa Das Faias
187,Cabo San Lucas,MX,69.01,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
188,Naze,JP,64.4,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
189,Tasiilaq,GL,18.72,broken clouds,65.6145,-37.6368,The Red House
190,Fare,PF,75.34,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
191,Port Macquarie,AU,84.99,clear sky,-31.4333,152.9167,Rydges Port Macquarie
192,Montevideo,UY,71.01,moderate rain,-34.8335,-56.1674,KOLPING Hotel
194,Sechura,PE,74.98,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
195,La Ronge,CA,5.0,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
196,Tiksi,RU,-25.67,overcast clouds,71.6872,128.8694,Arktika
197,Salym,RU,3.18,overcast clouds,60.0625,71.4789,Shinomontazh
198,Tahe,CN,-14.06,clear sky,52.3333,124.7333,塔河宾馆
199,Pemberton,CA,34.0,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
200,Ungheni,MD,36.0,light rain,47.2042,27.7958,Apartament
201,Muroto,JP,48.2,scattered clouds,33.2833,134.15,Oota Ryokan
202,San Quintin,MX,60.67,scattered clouds,30.4833,-115.95,Old Mill Hotel
203,Fairbanks,US,-5.8,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
204,Boali,CF,73.4,few clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
205,Kurumkan,RU,-6.21,light snow,54.3,110.3,Ilikchin
206,Viedma,AR,66.0,scattered clouds,-40.8135,-62.9967,Hotel Cristal
208,Huangpi,CN,53.6,broken clouds,30.8845,114.3779,Xinxing Lidu Hotel
209,Mlyniv,UA,39.0,overcast clouds,50.50899999999999,25.6168,Баня Сауна Млинів. Сауна Млинов. Баня Сауна Дубно.
210,Craig,US,28.4,light snow,40.5153,-107.5464,Candlewood Suites Craig-Northwest
211,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
212,Port Lincoln,AU,61.81,moderate rain,-34.7333,135.8667,Port Lincoln Hotel
213,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
214,Ugoofaaru,MV,81.27,scattered clouds,5.6667,73.0,Ungoofaaru Inn
215,Nurmijarvi,FI,5.0,clear sky,60.4641,24.8073,Taavi Vartia Tuotannot
216,Payo,ID,76.57,overcast clouds,-3.7508,103.6372,Mess keban agung
217,Comodoro Rivadavia,AR,64.4,clear sky,-45.8667,-67.5,Austral Hotel
218,Vada,NL,45.0,broken clouds,51.97,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
219,Isangel,VU,83.57,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
220,Zhigansk,RU,-41.33,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
221,Mogadishu,SO,75.43,few clouds,2.0371,45.3438,Hotel Juba
222,Martapura,ID,80.6,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
223,Labuhan,ID,78.76,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
224,Sohag,EG,55.4,clear sky,26.557,31.6948,Civil Registry - Sohag 1
225,Kuchinarai,TH,80.01,clear sky,16.541,104.05,โรงแรมแสงชัย
226,Barra Do Garcas,BR,75.94,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
227,Boras,SE,18.0,scattered clouds,57.721000000000004,12.9401,Scandic Plaza Borås
228,Kupang,ID,77.0,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
229,Yulara,AU,93.2,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
230,Victoria,HK,73.0,clear sky,22.2855,114.1577,Mini Hotel Central
231,Shingu,JP,48.2,broken clouds,33.7333,135.9833,Shingu UI Hotel
232,Svetlogorsk,BY,33.06,light snow,52.6333,29.7333,Hotel Svetlogorsk JBIK
233,Conceicao Da Barra,BR,76.96,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
234,Hermanus,ZA,61.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
235,Monster,NL,46.99,scattered clouds,52.0258,4.175,Vakantiepark Kijkduin
236,Dali,CN,51.49,clear sky,25.7,100.1833,Dali Travelling With Hostel
237,Nipawin,CA,6.8,broken clouds,53.3668,-104.0009,Tobin Lake Motel
238,La Primavera,CO,84.36,clear sky,5.4906,-70.4092,La Riviera Hotel Colonial
239,Namatanai,PG,85.1,light rain,-3.6667,152.4333,Namatanai Hotel
240,Guerrero Negro,MX,62.71,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
241,Joshimath,IN,38.79,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
242,North Platte,US,48.2,scattered clouds,41.1239,-100.7654,Holiday Inn Express & Suites North Platte
243,Grand-Santi,GF,73.92,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
244,Sorland,NO,35.38,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
245,Lichuan,CN,41.02,light rain,30.3,108.85,Yicheng Hotel
246,Shache,CN,23.95,clear sky,38.4167,77.2406,Delong Hotel
248,Masuda,JP,48.2,scattered clouds,34.6667,131.85,Masuda Green Hotel Morris
249,Paterno,IT,53.01,clear sky,37.571,14.9027,Il Conte Dell'Etna
250,Mangan,IN,56.86,clear sky,27.5167,88.5333,Hotel Mout View
251,Estepona,ES,59.0,broken clouds,36.4276,-5.1459,H10 Estepona Palace
252,Hambantota,LK,77.0,light rain,6.1241,81.1185,Bungalow 63
253,Sterlibashevo,RU,29.05,overcast clouds,53.4376,55.2578,"Okhotnich'ye Khozyaystvo ""Bober"""
254,Kahului,US,68.0,moderate rain,20.8947,-156.47,Maui Seaside Hotel
255,Amos,CA,14.0,clear sky,48.5669,-78.1162,"Amosphère, complexe hôtelier"
256,Cabatuan,PH,80.44,broken clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
257,Kandrian,PG,86.43,light rain,-6.2167,149.55,Kandrian Station
258,Ulladulla,AU,82.4,few clouds,-35.35,150.4667,Sandpiper Motel
259,Pio Ix,BR,74.62,scattered clouds,-6.8375,-40.5792,Hotel Central
260,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
261,San Patricio,US,66.2,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
262,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
263,Tevriz,RU,3.94,overcast clouds,57.50899999999999,72.4042,Postoyalyy Dvor
264,Odienne,CI,72.03,clear sky,9.51,-7.5692,Oustaz Vame DIAKITE
265,Fort Nelson,CA,-7.6,light snow,58.8053,-122.7002,The Fort Nelson Hotel
266,Trelew,AR,71.06,overcast clouds,-43.248999999999995,-65.3051,Hotel Touring Club
267,Longyearbyen,SJ,23.0,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
269,Steinbach,DE,48.99,light rain,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
270,Lakselv,NO,26.6,light snow,70.0513,24.9718,Lakselv Hotel
271,Osakarovka,KZ,19.02,overcast clouds,50.565,72.5692,Motel' Osakarovka
273,Kalmunai,LK,76.69,broken clouds,7.4167,81.8167,VS Villa
274,Fez,MA,53.6,clear sky,34.0372,-4.9998,Hotel Mounia Fès
275,Lakatoro,VU,85.19,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
276,Abilene,US,71.6,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
277,Bull Savanna,JM,69.01,clear sky,17.8868,-77.5902,Big Red's
278,Parrsboro,CA,39.0,overcast clouds,45.4001,-64.332,Gillespie House Inn
